time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:23:29.030506, 1736450609000, 1829, 1, 1.0, 3.0, 0.0, 1.8, 8.0, 
2025-01-10 03:23:29.203583, 1736450609200, 0, 2, 1.0, 3.0, 0.0, 1.8, 7.5, 
2025-01-10 03:23:29.414914, 1736450609400, 1, 5, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:23:31.611803, 1736450609600, 2, 2001, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:23:31.612764, 1736450611600, 1812, 0, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:23:31.806019, 1736450611800, 1, 4, 1.0, 3.0, 0.0, 1.8, 14.5, 
2025-01-10 03:23:32.043050, 1736450612000, 3, 31, 1.0, 3.0, 0.0, 1.8, 13.0, 
2025-01-10 03:23:34.215295, 1736450612200, 1, 2005, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:23:34.216461, 1736450614200, 1816, 0, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:23:34.403254, 1736450614400, 0, 2, 1.0, 3.0, 0.0, 1.8, 1.5, 
2025-01-10 03:23:34.613690, 1736450614600, 1, 4, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:23:36.815629, 1736450614800, 0, 2006, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:23:36.817221, 1736450616800, 1816, 1, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:23:37.006139, 1736450617000, 1, 5, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:23:37.214043, 1736450617200, 1, 3, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:23:39.417802, 1736450617400, 1, 2007, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:23:39.419527, 1736450619400, 1818, 1, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:23:39.613258, 1736450619600, 2, 11, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:23:39.815954, 1736450619800, 1, 6, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:23:42.006040, 1736450620000, 3, 2001, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:23:42.006963, 1736450622000, 1806, 1, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:23:42.214550, 1736450622200, 3, 11, 1.0, 3.0, 0.0, 1.8, 2.0, 
